index,target,CreditScore,FirstTimeHomebuyerFlag,MI_Pct,NumberOfUnits,OccupancyStatus,OriginalDTI,OriginalUPB,OriginalLTV,OriginalInterestRate,Channel,PropertyType,LoanPurpose,OriginalLoanTerm,NumberOfBorrowers,SuperConformingFlag,ProgramIndicator,PropertyValMethod,BalloonIndicator,CreditScore_MissFLag,OriginalDTI_MissFLag,0_1_UPB_Diff,1_2_UPB_Diff,2_3_UPB_Diff,3_4_UPB_Diff,4_5_UPB_Diff,5_6_UPB_Diff,6_7_UPB_Diff,7_8_UPB_Diff,8_9_UPB_Diff,9_10_UPB_Diff,10_11_UPB_Diff,11_12_UPB_Diff,12_13_UPB_Diff,longest_unchanged_UPB,avg_repayment_ratio,pct_months_late,Principal_reduction_rate,Amortization_slope,UPB_rebound_count,UPB_autocorr,UPB_skew,UPB_kurtosis,LTV_mean,LTV_std,LTV_slope,LTV_rebound_count,Interest_rate_std,Interest_rate_slope,Early_repayment_ratio,CreditScore_LTV_Ratio,CreditScore_DTI_Ratio,LTV_DTI_Product,DebtServiceRatio,HighRiskCredit,HighLTV,HighDTI,HighInterestRate,CompositeRiskScore,LTV_MissFlag,OriginalLTV_delta,MSA_freq_enc,PropertyState_freq_enc,SellerName_freq_enc,ServicerName_freq_enc
0,0,747,0,0,1,P,26,82000,67,8.0,R,MH,P,360,1,0,9,2,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5525853658536529,0.07155393314864507,0.07208376442673005,0.07261470280101436,0.0731590477452178,0.07370454696670378,0.07425121105903881,6,0.0038422822299651487,0.42857142857142855,0.009867439024390301,-75.16325274725286,0,0.9341273368060261,-0.21626988845958758,-1.9799010871927525,75.42857142857143,0.0,0.0,0,0.0,0.0,0.5600088984464706,11.149253731343284,28.73076923076923,0.1742,2.08,0,0,0,1,1,1,0,0.11218200891686336,0.008064516129032258,0.3126147390506163,0.24954104379753475
1,0,659,0,0,1,P,32,305000,68,7.875,R,SF,P,360,2,0,9,2,7,0,0,0.0,0.32786885245901637,0.0,0.0,0.0,0.0,0.2362697368421083,0.07292559057462006,0.07346056268553995,0.07399667293999741,0.07453723615095531,0.07508227253111524,0.07563180255576384,4,0.005087503512880557,0.35714285714285715,0.01005665573770501,-230.01358241758396,0,0.9459324188135193,0.05936548716882626,-1.0042968124361407,64.28571428571429,1.6225452416572208,-0.1010989010989011,3,0.0,0.0,0.5601901358858642,9.691176470588236,20.59375,0.2176,2.52,0,0,0,1,1,0,0,0.11218200891686336,0.03845397324940991,0.3126147390506163,0.24954104379753475
3,0,775,0,0,2,I,15,154000,70,7.625,R,SF,C,360,2,0,9,2,7,0,0,0.0,0.0,0.0,0.6493506493506493,0.0,0.0,0.021555555555562402,0.09893635896155689,0.09966254771760881,0.10039735789946391,0.10114083584360409,0.10188646501682402,0.10263426636275544,3,0.006235111317254175,0.35714285714285715,0.012698571428571346,-159.8047032967033,0,0.919997283478702,0.37752438142222783,-1.160682354757136,73.0,1.224744871391589,0.7999999999999999,2,0.0,0.0,0.5282218063183389,11.071428571428571,51.666666666666664,0.105,1.14375,0,0,0,1,1,0,0,0.00045895620246525046,0.04396144767899292,0.3126147390506163,0.24954104379753475
4,0,815,1,25,1,P,49,51000,88,7.25,R,SF,P,360,1,0,H,2,N,0,0,0.0,0.0,1.9607843137254901,0.0,0.0,0.0,-0.6190599999999977,0.08602743853897828,0.08661875512894014,0.0,0.17496069009418772,0.08842154477803155,0.08903882192454926,4,0.01359599439775912,0.5,0.01870764705882346,-58.05098901098896,1,0.6967324205097554,1.2861083178395643,0.05178975869295632,80.0,5.1269595556932455,-0.9714285714285713,3,0.0,0.0,0.7236948296282361,9.261363636363637,16.632653061224488,0.4312,3.5525,0,1,1,1,3,0,0,0.11218200891686336,0.04330579596118542,0.3126147390506163,0.24954104379753475
6,0,772,0,0,1,P,41,155000,69,7.75,R,SF,C,360,1,0,9,2,7,0,0,0.0,0.0,0.0,0.6451612903225806,0.0,0.0,-0.06803246753246073,0.07474135940113535,0.07527781585754187,0.0,0.07582193886713223,0.07637375859310017,0.07692028817835991,3,0.00517988018433179,0.5,0.009539419354838619,-118.27709890109806,1,0.8633892666477845,0.7611116034909787,-1.100375860586336,65.35714285714286,2.495915029950878,-0.4637362637362637,4,0.0,0.0,0.6054537707712101,11.18840579710145,18.829268292682926,0.2829,3.1775,0,0,0,1,1,0,0,0.003114345659585628,0.039634146341463415,0.3126147390506163,0.11991869918699187
7,0,775,1,0,1,P,49,104000,80,7.625,R,SF,P,360,1,0,9,2,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5164423076923134,0.07605624818170358,0.07659777058798663,0.07714049133333727,0.07769410860686722,0.07824896822565097,0.07880508132680625,6,0.0037292513736263727,0.42857142857142855,0.009776923076923105,-93.37509890109882,0,0.9399594047078038,-0.2541244083928039,-1.9118575584520783,72.0,4.840306956027833,-0.8395604395604398,4,0.0,0.0,0.5282258064516171,9.6875,15.816326530612244,0.392,3.73625,0,0,1,1,2,0,0,0.00016391292945187516,0.04396144767899292,0.3126147390506163,0.24954104379753475
8,0,770,0,30,1,P,25,143000,95,7.5,R,SF,P,360,2,0,9,2,N,0,0,0.7042253521126761,0.7092198581560284,0.0,0.0,0.0,0.0,0.512535714285706,0.16215969779395403,0.12748766527353997,0.12844245841947563,0.12941513802394836,0.1303913769876584,0.13137844140134788,4,0.024005704295704287,0.2857142857142857,0.027048873239436635,-243.37397802197836,0,0.9446513190289042,0.7802376455234284,0.5096045901051287,93.71428571428571,2.343031352408104,0.061538461538461535,6,0.0,0.0,0.707522116981777,8.105263157894736,30.8,0.2375,1.875,0,1,0,1,2,0,0,0.0015079989509572515,0.04330579596118542,0.3126147390506163,0.24954104379753475
12,0,770,0,0,1,P,32,104000,31,6.75,R,SF,N,360,2,0,9,2,7,0,0,0.9615384615384616,0.0,0.0,0.0,0.0,0.0,0.13048543689319822,0.09009814748565853,0.09068536731270951,0.09128384845614687,0.09187414382802174,0.092475744874659,0.09308870107081986,5,0.010924059065934046,0.35714285714285715,0.01633038461538462,-84.83861538461504,0,0.7406625778629298,1.4522787266333463,4.072958617714258,29.571428571428573,0.9035079029052514,-0.07032967032967037,3,0.0,0.0,0.667938481829526,24.838709677419356,24.0625,0.0992,2.16,0,0,0,0,0,0,0,0.11218200891686336,0.014293207448203515,0.3126147390506163,0.24954104379753475
14,0,812,0,0,1,P,23,246000,38,7.375,R,SF,N,360,2,0,9,2,7,0,0,0.40650406504065045,0.0,0.0,0.40816326530612246,0.0,0.0,0.18086885245901926,0.12265627322335246,0.12355918528961529,0.12447348706904522,0.1253951308627257,0.12632417047438482,0.1272606604713833,2,0.009415615563298499,0.2857142857142857,0.01732321138211386,-298.85687912087917,0,0.9590377347865143,0.16380734143568892,-0.8085562614295747,35.857142857142854,1.4568627181693676,-0.23736263736263732,2,0.0,0.0,0.5728767502598848,21.36842105263158,35.30434782608695,0.0874,1.69625,0,0,0,1,1,0,0,0.024783634933123525,0.04330579596118542,0.3126147390506163,0.24954104379753475
15,0,676,0,0,1,P,30,80000,70,7.5,R,SF,C,360,1,0,9,2,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666124999999921,0.0981794766638811,0.099006546146568,0.08029243189610934,0.0808617071738666,0.08143230945590503,0.08200425062107305,6,0.004674062499999988,0.42857142857142855,0.011837874999999986,-88.93619780219755,0,0.9349274424029456,-0.20159614113490662,-2.01580269944121,64.92857142857143,4.8027415640040685,-0.8769230769230767,4,0.0,0.0,0.563118380621516,9.657142857142857,22.533333333333335,0.21,2.25,0,0,0,1,1,0,0,0.11218200891686336,0.009801993181222135,0.3126147390506163,0.24954104379753475
